name,interests
Peter Hoyer,"Pediatric nephrology, transplantation"
Stefano Cavuoti,"Physics, Astrophysics, Neural Network, Machine Learning, Data Mining"
Christel Baier,"Theoretical Computer Science, Model Checking, Modeling and Analysis of Probabilistic Systems, Automata Theory, Temporal Logic"
Giuseppe Riccio,"thermal comfort, indoor air quality, clothing, rising damp"
Lubom®™ra Dvo?®¢kov®¢,fail
Che-Hao Liao,"Wide Bandgap Semiconductor, MOCVD"
Piotr P?o®Ωski,"artificial intelligence, neural networks, machine learning"
Umile Giuseppe Longo,
Ali Parsai,"Software Testing, Mutation Testing, Cyber-physical Systems, Digital Twins"
Serge Demeyer,"Software Engineering, Software Evolution, Test Automation"
Hao-En Chueh,
mai gehrke,"Algebra, topology, logic, theoretical computer science"
Robert Atkey,"Programming Languages, Type Theory, Semantics"
Alwen F Tiu,fail
Jay Schneider,neuroscience
Jiri Adamek,"nuclear fusion, tokamak, plasma physics, physics"
Gert Smolka,"Computational Logic, Programming Languages"
Arnon Avron,"Logic, Foundations of Mathematics, Automated Reasoning"
Taolue Chen,"Software Engineering, Program Analysis and Verification, Machine learning"
Jesper Bengtson,fail
Takeshi Tsukada,Programming Languages
Atsushi Igarashi,"Theoretical Computer Science, Programming Languages, Type Theory"
Mohamed Abd-Elfattah Gabal,"Materials science, nanomaterial"
Raul Donangelo,
Kazushige Terui,fail
Samir Abdelrahman,"Machine learning, Natural Language Processing Applications, Information Retrieval, Biomedical Informatics"
Prof.dr Basma Nasr Hassan,Histology and histochemistry
Reem Bahgat,Artificial Intelligence and Parallel Logic Programming
Alberto Griggio,"automated reasoning, formal methods, satisfiability, SMT, SAT"
Cameron E. Freer,"computability, probability, mathematical logic, probabilistic programming, combinatorics"
Dietrich Kuske,fail
silvio ghilardi,computer science
Silvio Ranise,"Security, Access Control, Automated Analysis, Verification, Automated Reasoning"
St®¶phane Demri,Logics for Computer Science
Laurent OLIVIER,"Arch®¶ologie, Anthropoc®®ne, Art celtique"
David Pichardie,"formal methods, programming languages, program verification, software and system security"
Federico Aschieri,"Theoretical computer science, Functional and Parallel Programming, Types"
Henning Schnoor,"logic in computer science, IT security, cryptography, complexity theory, computational social choice"
Jean-Guillaume Dumas,"Computer Algebra, Symbolic computation, Cryptology, Security, Parallelism"
Marcello Bonsangue,"Theoretical Computer Science, Logic, Formal Methods, Coalgebra, Automata theory"
Franz Baader,"Logic in Computer Science, Knowledge Representation, Automated Deduction"
Barbara Morawska,"Automata Theory, Logic, Description Logic, Complexity Theory, Decidability"
?t®ßp®¢n Starosta,"combinatorics on words, symbolic dynamics"
Lionel Vaux,fail
Stefano Gogioso,"Quantum Foundations, Category Theory, Quantum Information, Quantum Cryptography, Causality"
Bob Coecke,"Quantum Foundations, Category Theory, Quantum Information, Computational Linguistics, Causality"
Stefano Mancini,Quantum mechanics - Information theory
Markus Lohrey,"algorithmic group theory, automata theory, streaming algorithms, data compression"
Ala'a Z. Al-Howaide,fail
Veronique Bruyere,Theoretical computer science
F. L. Marquezino,fail
Liane Gabora,"creativity, concepts, evolutionary theory, cultural evolution, autocatalytic networks"
Riccardo Guidotti,"Explainable AI, Data Mining, Clustering Algorithms, Personal Data Analytics, Interpretable Machine"
Ian James Hayes,"Formal methods, Concurrent programming, Software engineering"
Abhisek Ukil,"Microgrid & Renewable, Storage & EV, DC Grid Protection & Control, Building Energy, AI in Power"
Jonathan Monta?o,"Commutative Algebra, Combinatorics, Algebraic Geometry"
Wim Van Damme,"public health, health policy, infectious diseases, Africa, developing countries"
Harley D. Eades III,"HCI, Accessibility, eCoaching, Type theory, programming languages"
Barnaby Martin,fail
Julian Rathke,"Concurrency Theory, Operational Semantics, Type Systems"
Dexter Kozen,"program logic and semantics, algorithm design and analysis, complexity theory, automata theory"
Eckhard Hitzer,fail
Michael Ummels,"Model Checking, Game Theory, Optimization"
Gill Barequet,fail
Dr Alec Simpson,Calcium Signalling
Robert Constable,fail
Jakob Grue Simonsen,"Computability, Complexity, Rewriting, Information Retrieval, Human-Computer Interaction"
Vladimiro Sassone,"computational privacy and trust, cyber security, distributed systems"
Damiano Mazza,"logic in computer science, theory of programming languages"
Aldo de Luca,Theoretical Computer Science
Robbert Krebbers,"Programming languages, Concurrency, Separation Logic, Proof assistants, Coq"
Reinhard Laubenbacher,fail
Martin Hofmann-Apitius,Modellierung neurodegenerativer Erkrankungen
Florent R. Madelaine,fail
Marcos Faundez-Zanuy  (ORCID: 0000-0003-0605-1282),"Signal Processing, biometrics"
Rainer Plaga,fail
Pasin Manurangsi,"Theoretical Computer Science, Differential Privacy, Approximation Algorithms, Hardness of Approximation, Spectral Graph Theory"
Jan Legersk?,fail
Richard Statman,fail
Jean-Fran?ois Raskin,Computer Science
Gang Mei (√∑∏÷),"AI, Big Earth Data Mining, Geosafety, Computational Modeling, Remote Sensing"
Georg Moser,"Logic, Proof Theory, Program Analysis, Automation, Quantum Computation"
Jiri Srba,"theoretical computer science, verification, modelling, Petri nets, automata theory"
Le Gall Jean-Fran?ois,"Brownian motion, branching processes, random graphs"
Shah Faisal,Nanotechnology and regenerative medicine
Marelie H Davel,"machine learning, deep learning, speech processing"
Olivier Danvy,"Programming Languages, Continuations, Partial Evaluation, Functional Programming, Abstract Machines"
Samuel R. Buss,fail
Marcelo Arenas,"Database theory, logic in computer science, semantic Web"
Pablo Barcel®Æ,"Database Theory, Logic in Computer Science, Automata Theory, Machine Learning Theory"
Rick Salay,Electrical and Computer Engineering
Predrag Janicic,"Automated reasoning, automated deduction in geometry, SAT/SMT, mathematical software"
Vincent Labatut,"Complex Networks, Community Detection, Social Networks, Information Retrieval"
Vishwanath Raman,"Formal Methods, Security, Applied Machine Learning"
Gunnar K?nig,"Machine Learning, Interpretability, Causal Inference"
Andrea Corradini,Theoretical Computer Science
Marvin N. Wright,"interpretable machine learning, biostatistics"
Bo N?rregaard J?rgensen,"Energy Informatics, Energy-ecosystems, AI Agents, Multi-agent systems, Digital Twins"
Russell A. Matthews,"work-family, subjective well-being, Industrial/Organizational Psychology, human resources"
Robert Brijder,Computer Science
Francois Laroussinie,fail
Andreas Winter,"Quantum information, quantum physics, combinatorics, information theory"
Alberto Carraro,"Machine Learning, Deep Learning, Artificial Intelligence, Lambda Calculus, Petri Nets"
Michelangelo Bucci,"Combinatorics on Words, Theoretical Computer Science, Discrete Mathematics"
Jelle Don,Post-quantum cryptography
Viorica Sofronie-Stokkermans,"Logic, Automated reasoning, SMT, Verification"
Serge Fehr,"Cryptography, Cryptographic Protocols, Quantum Cryptography"
Leonid Libkin,"Databases, database theory, graph databases, logic in computer science"
Mihalis Yannakakis,"Algorithms, Complexity, Optimization, Verification, Databases"
Hocine Cherifi,"Computer Vision, Complex Systems, Network Science, Data Science, Complex Networks"
Martin D. Berger,"Gastrointestinal Oncology, Colorectal Cancer, Translational and Clinical Research in GI Tumors, Prognostic and Predictive Biomar"
Pat J Morin,"Personalized Medicine, Oncology, Translational Research, Drug Discovery, Cancer Research"
Roland Meyer,"Automata, Concurrency Theory, Games, Semantics, Verification"
Douglas Sloane,"health service research, statistics, research methods"
Francesc Comellas,"algebraic graph theory, networks, complex systems, combinatorial optimization, evolutionary algorithms"
Marcin Jurdzi®Ωski,"theoretical computer science, algorithms, games, automata, logic"
Andr®¶ Asperti,Medicina
Andr®¶ Platzer,"Logic in Computer Science, Theorem Proving, Programming Languages, Hybrid Systems"
Florent Jacquemard,"Symbolic Music Information Retrieval, Formal Methods, Automata Theory, Term Rewriting, Logic in Computer Science"
Etienne Lozes,logic and verification
Prof. Dr. M. Rizwan Jameel Qureshi,"software engineering, software process improvement, Component based Development, Agile Software Development"
Jan Aldert Bergstra,"meadows, instruction sequences, decision taking, outsourcing"
Robert Rettinger,
Uwe Aickelin,"Artificial Intelligence, Data Mining, Decision Support, Digital Health, Health Informatics"
Jingpeng Li,"Transport Scheduling, Metaheuristics, Multi-Objective Optimisation, Machine Learning, Search-Based Software Engineering"
Joel Ouaknine,"Foundations of algorithmic verification, linear dynamical systems, model checking, logic, theoretical computer science"
Claudia Faggian,fail
Yuri Gurevich,"Computer science, mathematics, quantum physics"
Dean Rosenzweig,fail
Alexis B®®s,fail
Patrick Baillot,fail
Michelle Blom,"Optimisation, Artificial Intelligence"
Florian Horn,"Games on graphs, Version Control Systems"
Alan J Thompson,Multiple Sclerosis
Wolfgang Thomas,"automata theory, logic in computer science"
Vanessa Teague,"electronic voting, end-to-end verifiable voting, cryptography, security, privacy"
Ines Klimann,fail
Andrea Di Blas,
Paolo Capriotti,Homotopy Type Theory
Benjamin Rossman,fail
Claude Tardif,"Graph Theory, Constraint Satisfaction Problems"
Krzysztof Czarnecki,"Software Engineering, Model-Driven Engineering, Software Product Lines, Variability Engineering"
Gilles Dowek,fail
Petr Hlineny,"discrete mathematics, theoretical computer science"
Martin Lange,"Drug discovery, Biomarkers, preclinical pharmacology, oncology"
Joost Engelfriet,theoretical computer science
Bakhadyr Khoussainov,fail
Shin-ya Katsumata,fail
Michele Basaldella,fail
Guillaume Bonfante,fail
C. A. Middelburg,fail
Joel Ouaknine,"Foundations of algorithmic verification, linear dynamical systems, model checking, logic, theoretical computer science"
Armin Biere,"Satisfiability, Automated Reasoning, Formal Verification, Model Checking, Debugging"
Victor Dalmau,
Masahito Hasegawa,"Programming Languages, Lambda Calculi, Logic, Category Theory"
Lutz Stra?burger,
Cornelius Diekmann,"Computer Networks, Security, Formal Methods, Network Security Management, Isabelle/HOL"
Alwen Tiu,"Logic, proof theory, process calculus, theorem proving, computer security"
Ron Fulbright,fail
Vincent Christlein,"Computer Vision, Document Analysis, Art Analysis, Computational Humanities, AI4Conservation"
Javier Esparza,"Verification, Automata Theory, Concurrency Theory"
Ian McQuillan,"theoretical computer science, natural computing"
Shane Mansfield,"Photonic Quantum Computing, Quantum Information, Quantum Foundations, Quantum Computing, Theoretical"
Rudolf Gr®πbel,"probability theory, mathematical statistics"
Wan Fokkink,"concurrency theory, formal methods, supervisory control, distributed algorithms"
Anna Ingolfsdottir,Semantics for concurrent and reactive systems
Erik Winfree,"molecular programming, DNA computing, DNA nanotechnology, molecular robotics, self-assembly"
Carl A. Gunter,"Computer Security, Privacy, Formal Methods, Programming Languages"
Yo®§v Montacute,"Mathematical Logic, Foundations of Mathematics, Theoretical Computer Science"
Chad E. Brown,fail
Dominik Kirst,"computational logic, constructive type theory, axiomatic set theory"
Gilles Brassard,"quantum information, cryptography, foundations of physics"
Andrei Asinowski,Combinatorics
Zhongzhi Zhang (’¬÷“÷æ),"Complex network, graph data mining, computational social scicence, social network, graph theory"
Paul-Andr®¶ Melli®®s,Semantics of proofs and programs
Jung-Eun Kim,Musculoskeletal biology
Tillmann Miltzow,Computational geometry
Alexander Kartzow,fail
gregorio malajovich,"Matem®¢tica, complexidade, sistemas de equa??es n?o-lineares"
Diego Figueira,"Logic in Computer Science, Database Theory, Automata Theory"
Cristina Sirangelo,"database theory, logic, automata"
Ivan Lanese,"Theory, Programming, Software Engineering"
Benedict Daniel Michael,Neurology Infectious Diseases
C®¶cilia Pradic,fail
Pedro Abreu Gonzalez,"melatonin, pineal gland, myocardial infarction, biological markers"
Dag Normann,fail
Willem Heijltjes,Computer Science
Sandi Klav?ar,Discrete Mathematics and its Applications
Yan Wang,"gravitational physics, gravitational waves, astrophysics"
Louis Esperet,fail
xiaoyong dai,Economics of Innovation
Claudio Antares Mezzina,"Theoretical Computer Science, Programming Languages, Process Calculi, Concurrency Theory, Reversible Computation"
Ezgi Deniz Ulker,
Sadik Ulker,"Microwave Engineering, Artificial Intelligence"
Hyvernat Pierre,fail
Cheng Guanghua,"ultrafast laser, micromachining, interaction of laser and matter"
Thabet Slimani,fail
Tao Gu,"Edge AI, Embedded AI, Intelligent Sensing, Mobile and Ubiquitous Computing"
Harry Buhrman,"Quantum Computing, Complexity Theory, Kolmogorov Complexity, Computational Learning Theory"
Patrick Bahr,"type theory, compilers, functional programming"
Christophe Fouquer®¶,fail
Myriam Quatrini,fail
AL-AKHIR NAYAN,"Artificial Intelligence, Computer Vision, Medical Imaging, Big Data, IoT"
Md. Obaidur Rahman,"Maternal and Child Health, Infectious Disease Epidemiology, Advanced Meta-Analyses"
Jeffrey Shallit,"automata theory, combinatorics on words, number theory, algebra, formal languages"
